date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2019-12-15,2019,0,0,LAC,MIN,1585.75191800581,1538.42395425995,0.6562465196955145,,,
2019-12-16,2019,0,0,NO,IND,1610.93660317005,1561.07456529967,0.6595296847830557,,,
2019-12-21,2019,0,0,LAC,OAK,1585.75191800581,1405.44061778861,0.8041009519036686,,,
2019-12-21,2019,0,0,NE,BUF,1640.85648810958,1448.42368150679,0.8148597486049404,,,
2019-12-21,2019,0,0,TB,HOU,1444.77266859125,1515.38853097227,0.4919188281417497,,,
2019-12-21,2019,0,0,SF,LAR,1422.63182461207,1598.01566621671,0.34628248066159106,,,
2019-12-21,2019,0,0,DEN,DET,1449.16419458668,1490.51940926969,0.533975145541213,,,
2019-12-22,2019,0,0,MIA,CIN,1415.17876187059,1428.5335151433,0.5737808646037204,,,
2019-12-22,2019,0,0,TEN,NO,1518.90720352913,1610.93660317005,0.4611798532245238,,,
2019-12-22,2019,0,0,WSH,NYG,1441.02179176339,1442.7255357616,0.5900960699506556,,,
2019-12-22,2019,0,0,NYJ,PIT,1384.96644235941,1572.19321967273,0.33101589867944525,,,
2019-12-22,2019,0,0,CLE,BAL,1455.88640137805,1570.53924891259,0.42902633925430084,,,
2019-12-22,2019,0,0,IND,CAR,1561.07456529967,1519.37877240763,0.6488960852177371,,,
2019-12-22,2019,0,0,ATL,JAX,1520.31582461035,1455.24907275187,0.6789006909551527,,,
2019-12-22,2019,0,0,SEA,ARI,1565.41164859357,1383.74042223536,0.8053311613296433,,,
2019-12-22,2019,0,0,PHI,DAL,1581.51355925233,1546.63760540507,0.6399004753042701,,,
2019-12-22,2019,0,0,CHI,KC,1588.89793144843,1602.07742712331,0.5740275703096468,,,
2019-12-23,2019,0,0,MIN,GB,1538.42395425995,1455.13136993533,0.7013303116439586,,,
2019-12-29,2019,0,0,DET,GB,1490.51940926969,1455.13136993533,0.6405794502766343,,,
2019-12-29,2019,0,0,HOU,TEN,1515.38853097227,1518.90720352913,0.5875666259461947,,,
2019-12-29,2019,0,0,TB,ATL,1444.77266859125,1520.31582461035,0.48483183444642974,,,
2019-12-29,2019,0,0,BAL,PIT,1570.53924891259,1572.19321967273,0.5901653718573409,,,
2019-12-29,2019,0,0,NYG,PHI,1442.7255357616,1581.51355925233,0.3953787632333485,,,
2019-12-29,2019,0,0,CIN,CLE,1428.5335151433,1455.88640137805,0.5539675014650023,,,
2019-12-29,2019,0,0,DAL,WSH,1546.63760540507,1441.02179176339,0.7275333409160014,,,
2019-12-29,2019,0,0,JAX,IND,1455.24907275187,1561.07456529967,0.4415163166253815,,,
2019-12-29,2019,0,0,KC,LAC,1602.07742712331,1585.75191800581,0.6149451446179908,,,
2019-12-29,2019,0,0,MIN,CHI,1538.42395425995,1588.89793144843,0.5208924552267467,,,
2019-12-29,2019,0,0,NE,MIA,1640.85648810958,1415.17876187059,0.8420120416525391,,,
2019-12-29,2019,0,0,CAR,NO,1519.37877240763,1610.93660317005,0.4618544752053147,,,
2019-12-29,2019,0,0,BUF,NYJ,1448.42368150679,1384.96644235941,0.6768776108807524,,,
2019-12-29,2019,0,0,DEN,OAK,1449.16419458668,1405.44061778861,0.6515508686884632,,,
2019-12-29,2019,0,0,SEA,SF,1565.41164859357,1422.63182461207,0.7678261352867408,,,
2019-12-29,2019,0,0,LAR,ARI,1598.01566621671,1383.74042223536,0.833083130699202,,,
